mergeout,doc,corpus,dir.path,child.age,age_check,type,,,,,,,,
Brent_c1,Brent/c1-1417,Brent,Brent/c1,1;2.17,yes,merge_pnt_age,,,,,,,,
Brent_d1,Brent/d1-0904,Brent,Brent/d1,0;9.04,yes,merge_pnt_age,,,,,,,,
Brent_d1,Brent/d1-0925,Brent,Brent/d1,0;9.25,yes,merge_pnt_age,,,,,,,,
Brent_d1,Brent/d1-1026,Brent,Brent/d1,0;10.26,yes,merge_pnt_age,,,,,,,,
Brent_d1,Brent/d1-1224,Brent,Brent/d1,1;1.04,yes,merge_pnt_age,,,,,,,,
Brent_d1,Brent/d1-1310,Brent,Brent/d1,1;1.10,yes,merge_pnt_age,,,,,,,,
Brent_d1,Brent/d1-1407,Brent,Brent/d1,1;2.07,yes,merge_pnt_age,,,,,,,,
Brent_d1,Brent/d1-1417,Brent,Brent/d1,1;2.17,yes,merge_pnt_age,,,,,,,,
Brent_d1,Brent/d1-1428,Brent,Brent/d1,1;2.28,yes,merge_pnt_age,,,,,,,,
Brent_f1,Brent/f1-0828,Brent,Brent/f1,0;8.28,yes,merge_pnt_age,,,,,,,,
Brent_f1,Brent/f1-0910,Brent,Brent/f1,0;9.10,yes,merge_pnt_age,,,,,,,,
Brent_f1,Brent/f1-1003,Brent,Brent/f1,0;10.03,yes,merge_pnt_age,,,,,,,,
Brent_f1,Brent/f1-1013,Brent,Brent/f1,0;10.13,yes,merge_pnt_age,,,,,,,,
Brent_f1,Brent/f1-1022,Brent,Brent/f1,0;10.22,yes,merge_pnt_age,,,,,,,,
Brent_f1,Brent/f1-1106,Brent,Brent/f1,0;11.06,yes,merge_pnt_age,,,,,,,,
Brent_f1,Brent/f1-1120,Brent,Brent/f1,0;11.20,yes,merge_pnt_age,,,,,,,,
Brent_f1,Brent/f1-1206,Brent,Brent/f1,1;0.06,yes,merge_pnt_age,,,,,,,,
Brent_f1,Brent/f1-1304,Brent,Brent/f1,1;1.04,yes,merge_pnt_age,,,,,,,,
Brent_f1,Brent/f1-1318,Brent,Brent/f1,1;1.18,yes,merge_pnt_age,,,,,,,,
Brent_f1,Brent/f1-1402,Brent,Brent/f1,1;2.02,yes,merge_pnt_age,,,,,,,,
Brent_f1,Brent/f1-1424,Brent,Brent/f1,1;2.24,yes,merge_pnt_age,,,,,,,,
Brent_f1,Brent/f1-1504,Brent,Brent/f1,1;3.04,yes,merge_pnt_age,,,,,,,,
Brent_f2,Brent/f2-0827,Brent,Brent/f2,0;08.27,yes,merge_pnt_age,,,,,,,,
Brent_f2,Brent/f2-1010,Brent,Brent/f2,0;10.10,yes,merge_pnt_age,,,,,,,,
Brent_f2,Brent/f2-1414,Brent,Brent/f2,1;2.14,yes,merge_pnt_age,,,,,,,,
Brent_i1,Brent/i1-0901,Brent,Brent/i1,0;9.01,yes,merge_pnt_age,,,,,,,,
Brent_i1,Brent/i1-0914,Brent,Brent/i1,0;9.14,yes,merge_pnt_age,,,,,,,,
Brent_i1,Brent/i1-1005,Brent,Brent/i1,0;10.05,yes,merge_pnt_age,,,,,,,,
Brent_i1,Brent/i1-1311,Brent,Brent/i1,1;1.11,yes,merge_pnt_age,,,,,,,,
