#Version 2.1 - Updated by Alex Cristia 2015-08-31
agey     .eGi -w
barrel           .b*L -w
barrels        .b*Lz -w
barrette       .b6rEt -w
barrettes      .b6rEts -w
barron         .b*~ -w
barroon        .b6run -w
barroons          .b6runz -w
bars           .b#z -w
bart           .b#t -w
base         .bes -w
baseball       .besbOl -w
baseballs      .besbOlz -w
based         .bezd -w
basement       .besm~t -w
bashful          .b&SfL -w
basic              .besIk -w
basically      .besIkli -w
basics          .besIks -w
basil            .bezIl -w
basil's           .bezIlz -w
basis              .besIs -w
basket         .b&skIt -w
basket's        .b&skIts -w
basketball    .b&skItbOl -w
basketballs     .b&skItbOlz -w
basketful         .b&skItfL -w
baskets        .b&skIts -w
baster          .bestR -w
basty            .besti -w
bat            .b&t -w
bath           .b&T -w
bathie          .b&Ti -w
bathing        .beDIN -w
bathingsuit     .beDINsut -w
bathingsuits      .beDINsuts -w
bathroom       .b&Trum -w
bathrooms       .b&Trumz -w
baths              .b&Ts -w
bathtime          .b&Tt9m -w
bathtub        .b&TtAb -w
batman        .b&tm&n -w
bats              .b&ts -w
batter            .b&tR -w
batteries         .b&tRi -w
battery           .b&tRiz -w
battery's         .b&tRiz -w
battle           .b&tL -w
batty            .b&ti -w
bay               .be -w
be             .bi -w
beach          .bic -w
bead            .bid -w
beads          .bidz -w
beady         .bidi -w
beak          .bik -w
bean         .bin -w
beanbag      .binb&g -w
beanie          .bini -w
beans          .binz -w
beanstalk      .binstak -w
bear           .b* -w
bear's          .b*z -w
bearbrown      .b*rbrQn -w
beard          .b(d -w
bears             .b*z -w
beast           .bist -w
beastly         .bistli -w
beat            .bit -w
beaten         .bit~ -w
beaters         .bitRz -w
beating          .bitIN -w
beatrix          .biatrIks -w
beautician       .byutIS~ -w
beautiful      .byut6fL -w
beautifully      .byutIfli -w
beauty           .byuti -w
beavers        .bivRz -w
bebe              .bebe -w
became          .bikem -w
because        .bIkAz -w
become         .bIkAm -w
becomes        .bIkAmz -w
becoming       .bikAmIN -w
bed            .bEd -w
bed's          .bEdz -w
beddybye      .bEdib9 -w
bedroom        .bEdrum -w
beds             .bEdz -w
bedspread      .bEdsprEd -w
bedtime        .bEdt9m -w
bee            .bi -w
bee's          .biz -w
beef            .bif -w
been           .bIn -w
beep          .bip -w
beeper       .bipR -w
beeps          .bips -w
beer            .b( -w
bees             .biz -w
beet             .bit -w
beetie            .biti -w
beetle             .bitL -w
beetles        .bitLz -w
beets            .bits -w
before         .bIf% -w
beg            .bEg -w
began          .bIg&n -w
beggar          .bEgR -w
begging        .bEgIN -w
begin          .bIgIn -w
beginner       .bIgInR -w
beginning      .bIgInIN -w
